IRL, T, +-, T-S, +-, K, +-, D/K, +-
72, 6.232E-17, 0.9%, 5.791E-17, 0.9%, 5.970E-17, 2.6%, 1.044E+00, 2.8%
73, 6.063E-17, 1.0%, 5.632E-17, 1.0%, 6.071E-17, 2.6%, 9.986E-01, 2.8%
74, 5.981E-17, 1.0%, 5.556E-17, 1.0%, 5.713E-17, 2.6%, 1.047E+00, 2.8%
75, 5.984E-17, 1.0%, 5.559E-17, 1.0%, 5.868E-17, 2.7%, 1.020E+00, 2.8%
76, 5.865E-17, 1.0%, 5.449E-17, 1.0%, 5.936E-17, 2.7%, 9.879E-01, 2.9%
77, 5.893E-17, 1.0%, 5.475E-17, 1.0%, 5.705E-17, 2.7%, 1.033E+00, 2.9%
78, 5.855E-17, 1.0%, 5.438E-17, 1.0%, 5.846E-17, 2.7%, 1.002E+00, 2.9%
79, 5.669E-17, 1.0%, 5.267E-17, 1.0%, 5.252E-17, 2.8%, 1.079E+00, 3.0%
80, 5.534E-17, 1.0%, 5.142E-17, 1.0%, 5.634E-17, 2.7%, 9.822E-01, 2.9%
81, 5.395E-17, 1.0%, 5.013E-17, 1.0%, 5.342E-17, 2.8%, 1.010E+00, 3.0%
82, 5.507E-17, 1.6%, 5.143E-17, 1.6%, 5.360E-17, 6.4%, 1.028E+00, 6.6%
83, 5.391E-17, 1.6%, 5.031E-17, 1.6%, 5.343E-17, 6.5%, 1.009E+00, 6.7%
84, 5.457E-17, 1.6%, 5.091E-17, 1.6%, 5.894E-17, 6.2%, 9.259E-01, 6.4%
85, 5.375E-17, 1.6%, 5.017E-17, 1.6%, 5.592E-17, 6.3%, 9.611E-01, 6.5%
86, 5.417E-17, 1.6%, 5.055E-17, 1.6%, 5.460E-17, 6.6%, 9.923E-01, 6.8%
87, 5.483E-17, 1.6%, 5.121E-17, 1.6%, 5.793E-17, 6.3%, 9.465E-01, 6.5%
88, 5.481E-17, 1.6%, 5.120E-17, 1.6%, 5.473E-17, 6.5%, 1.001E+00, 6.7%
89, 5.419E-17, 1.6%, 5.055E-17, 1.6%, 5.237E-17, 6.4%, 1.035E+00, 6.6%
90, 5.450E-17, 1.6%, 5.086E-17, 1.6%, 5.009E-17, 6.8%, 1.088E+00, 7.0%
91, 5.347E-17, 1.6%, 4.987E-17, 1.6%, 5.752E-17, 6.7%, 9.296E-01, 6.8%
92, 5.382E-17, 1.6%, 5.023E-17, 1.6%, 5.181E-17, 6.4%, 1.039E+00, 6.6%
93, 5.409E-17, 1.6%, 5.048E-17, 1.6%, 5.398E-17, 6.5%, 1.002E+00, 6.7%
94, 5.194E-17, 1.6%, 4.847E-17, 1.6%, 4.976E-17, 6.9%, 1.044E+00, 7.0%
95, 5.138E-17, 1.6%, 4.798E-17, 1.6%, 5.246E-17, 6.4%, 9.794E-01, 6.6%
96, 5.162E-17, 1.6%, 4.815E-17, 1.6%, 5.484E-17, 6.8%, 9.413E-01, 7.0%
97, 5.149E-17, 1.6%, 4.807E-17, 1.6%, 4.747E-17, 7.0%, 1.085E+00, 7.2%
98, 5.298E-17, 1.6%, 4.941E-17, 1.6%, 4.880E-17, 6.6%, 1.086E+00, 6.8%
99, 5.235E-17, 1.6%, 4.885E-17, 1.6%, 4.536E-17, 6.9%, 1.154E+00, 7.1%
100, 5.114E-17, 1.7%, 4.771E-17, 1.6%, 5.194E-17, 6.6%, 9.845E-01, 6.8%
101, 5.021E-17, 1.7%, 4.688E-17, 1.6%, 4.794E-17, 7.1%, 1.048E+00, 7.3%
102, 5.112E-17, 0.9%, 4.772E-17, 0.9%, 5.169E-17, 3.1%, 9.888E-01, 3.2%
103, 5.043E-17, 0.9%, 4.707E-17, 0.9%, 5.032E-17, 3.1%, 1.002E+00, 3.3%
104, 4.977E-17, 0.9%, 4.645E-17, 0.9%, 4.998E-17, 3.1%, 9.957E-01, 3.2%
105, 4.815E-17, 0.9%, 4.495E-17, 0.9%, 4.880E-17, 3.1%, 9.867E-01, 3.2%
106, 4.748E-17, 0.9%, 4.431E-17, 0.9%, 4.675E-17, 3.2%, 1.016E+00, 3.3%
107, 4.694E-17, 0.9%, 4.379E-17, 0.9%, 4.926E-17, 3.2%, 9.528E-01, 3.3%
108, 4.581E-17, 1.0%, 4.276E-17, 1.0%, 4.286E-17, 3.3%, 1.069E+00, 3.4%
109, 4.555E-17, 1.0%, 4.252E-17, 1.0%, 4.570E-17, 3.2%, 9.966E-01, 3.4%
110, 4.416E-17, 1.0%, 4.122E-17, 1.0%, 4.451E-17, 3.3%, 9.922E-01, 3.5%
111, 4.404E-17, 1.0%, 4.111E-17, 1.0%, 4.393E-17, 3.3%, 1.002E+00, 3.5%
112, 4.279E-17, 1.0%, 3.994E-17, 1.0%, 4.149E-17, 3.4%, 1.031E+00, 3.6%
113, 4.273E-17, 1.0%, 3.988E-17, 1.0%, 4.105E-17, 3.4%, 1.041E+00, 3.5%
114, 4.219E-17, 1.0%, 3.939E-17, 1.0%, 4.180E-17, 3.4%, 1.009E+00, 3.5%
115, 4.064E-17, 1.0%, 3.793E-17, 1.0%, 3.896E-17, 3.5%, 1.043E+00, 3.6%
116, 4.019E-17, 1.0%, 3.751E-17, 1.0%, 3.806E-17, 3.6%, 1.056E+00, 3.7%
117, 3.952E-17, 1.0%, 3.689E-17, 1.0%, 3.997E-17, 3.5%, 9.887E-01, 3.7%
118, 3.845E-17, 1.0%, 3.590E-17, 1.0%, 3.777E-17, 3.7%, 1.018E+00, 3.8%
119, 3.803E-17, 1.0%, 3.550E-17, 1.0%, 3.658E-17, 3.6%, 1.040E+00, 3.8%
120, 3.746E-17, 1.0%, 3.497E-17, 1.0%, 3.806E-17, 3.6%, 9.843E-01, 3.8%
121, 3.679E-17, 1.1%, 3.434E-17, 1.1%, 3.452E-17, 3.7%, 1.066E+00, 3.8%
122, 3.640E-17, 1.1%, 3.397E-17, 1.1%, 3.811E-17, 3.6%, 9.550E-01, 3.8%
123, 3.616E-17, 1.1%, 3.375E-17, 1.1%, 3.588E-17, 3.7%, 1.008E+00, 3.8%
124, 3.566E-17, 1.1%, 3.329E-17, 1.1%, 3.378E-17, 3.8%, 1.055E+00, 4.0%
125, 3.461E-17, 1.1%, 3.231E-17, 1.1%, 3.292E-17, 4.0%, 1.051E+00, 4.1%
126, 3.443E-17, 1.1%, 3.213E-17, 1.1%, 3.170E-17, 3.9%, 1.086E+00, 4.1%
127, 3.370E-17, 1.1%, 3.145E-17, 1.1%, 3.501E-17, 3.8%, 9.625E-01, 3.9%
128, 3.342E-17, 1.1%, 3.120E-17, 1.1%, 3.362E-17, 3.9%, 9.940E-01, 4.0%
129, 3.259E-17, 1.1%, 3.042E-17, 1.1%, 3.137E-17, 3.9%, 1.039E+00, 4.1%
130, 3.243E-17, 1.1%, 3.027E-17, 1.1%, 3.466E-17, 3.9%, 9.356E-01, 4.0%
131, 3.208E-17, 1.1%, 2.995E-17, 1.1%, 3.034E-17, 4.0%, 1.057E+00, 4.2%
132, 3.137E-17, 1.2%, 2.930E-17, 1.1%, 3.235E-17, 4.0%, 9.698E-01, 4.2%
133, 3.130E-17, 1.2%, 2.922E-17, 1.2%, 3.195E-17, 4.0%, 9.799E-01, 4.2%
134, 3.044E-17, 1.2%, 2.842E-17, 1.2%, 2.911E-17, 4.2%, 1.045E+00, 4.3%
135, 2.998E-17, 1.2%, 2.799E-17, 1.2%, 2.941E-17, 4.1%, 1.019E+00, 4.3%
136, 2.924E-17, 1.2%, 2.729E-17, 1.2%, 2.916E-17, 4.1%, 1.003E+00, 4.3%
137, 2.857E-17, 1.2%, 2.667E-17, 1.2%, 2.704E-17, 4.3%, 1.057E+00, 4.5%
138, 2.822E-17, 1.2%, 2.635E-17, 1.2%, 2.769E-17, 4.3%, 1.019E+00, 4.5%
139, 2.763E-17, 1.2%, 2.581E-17, 1.2%, 2.703E-17, 4.3%, 1.022E+00, 4.5%
140, 2.749E-17, 1.2%, 2.567E-17, 1.2%, 2.823E-17, 4.3%, 9.736E-01, 4.5%
141, 2.712E-17, 1.2%, 2.532E-17, 1.2%, 2.744E-17, 4.3%, 9.884E-01, 4.5%
142, 2.672E-17, 1.2%, 2.495E-17, 1.2%, 2.575E-17, 4.5%, 1.038E+00, 4.7%
143, 2.639E-17, 1.2%, 2.464E-17, 1.2%, 2.620E-17, 4.4%, 1.007E+00, 4.6%
144, 2.606E-17, 1.3%, 2.433E-17, 1.3%, 2.658E-17, 4.4%, 9.805E-01, 4.5%
145, 2.547E-17, 1.3%, 2.379E-17, 1.3%, 2.690E-17, 4.4%, 9.466E-01, 4.6%
146, 2.564E-17, 1.3%, 2.393E-17, 1.3%, 2.516E-17, 4.6%, 1.019E+00, 4.7%
147, 2.510E-17, 1.3%, 2.343E-17, 1.3%, 2.484E-17, 4.5%, 1.010E+00, 4.7%
148, 2.513E-17, 1.3%, 2.346E-17, 1.3%, 2.362E-17, 4.5%, 1.064E+00, 4.7%
149, 2.473E-17, 1.3%, 2.309E-17, 1.3%, 2.435E-17, 4.6%, 1.016E+00, 4.7%
150, 2.367E-17, 1.3%, 2.210E-17, 1.3%, 2.225E-17, 4.7%, 1.064E+00, 4.9%
151, 2.327E-17, 1.3%, 2.172E-17, 1.3%, 2.181E-17, 4.9%, 1.067E+00, 5.1%
152, 2.347E-17, 1.3%, 2.192E-17, 1.3%, 2.292E-17, 4.7%, 1.024E+00, 4.9%
153, 2.286E-17, 1.3%, 2.134E-17, 1.3%, 2.136E-17, 4.8%, 1.070E+00, 5.0%
154, 2.294E-17, 1.3%, 2.142E-17, 1.3%, 2.172E-17, 4.7%, 1.056E+00, 4.9%
155, 2.160E-17, 1.4%, 2.017E-17, 1.4%, 2.103E-17, 5.0%, 1.027E+00, 5.2%
156, 2.125E-17, 1.4%, 1.984E-17, 1.4%, 2.114E-17, 5.0%, 1.005E+00, 5.2%
157, 2.176E-17, 1.4%, 2.032E-17, 1.4%, 2.125E-17, 4.9%, 1.024E+00, 5.1%
158, 2.150E-17, 1.4%, 2.007E-17, 1.4%, 2.013E-17, 5.0%, 1.068E+00, 5.1%
159, 2.076E-17, 1.4%, 1.939E-17, 1.4%, 2.047E-17, 4.9%, 1.014E+00, 5.1%
160, 2.055E-17, 1.4%, 1.918E-17, 1.4%, 2.065E-17, 5.0%, 9.950E-01, 5.2%
161, 2.017E-17, 1.4%, 1.884E-17, 1.4%, 2.198E-17, 4.8%, 9.177E-01, 5.0%
