IZ, Param, IX=1, +/-, IX=2, +/-, IX=3, +/-, IX=4, +/-, IX=5, +/-, IX=6, +/-, IX=7, +/-, IX=8, +/-, IX=9, +/-, IX=10, +/-, IX=11, +/-, IX=12, +/-, IX=13, +/-, IX=14, +/-, IX=15, +/-, IX=16, +/-, IX=17, +/-, IX=18, +/-, IX=19, +/-, IX=20, +/-, IX=21, +/-, IX=22, +/-, IX=23, +/-, IX=24, +/-, IX=25, +/-, IX=26, +/-, IX=27, +/-, IX=28, +/-, IX=29, +/-, IX=30, +/-, IX=31, +/-, IX=32, +/-, IX=33, +/-, IX=34, +/-, IX=35, +/-, IX=36, +/-, IX=37, +/-, IX=38, +/-, IX=39, +/-, IX=40, +/-, IX=41, +/-, IX=42, +/-, IX=43, +/-, IX=44, +/-, IX=45, +/-, IX=46, +/-, IX=47, +/-, IX=48, +/-, IX=49, +/-, IX=50, +/-, IX=51, +/-, IX=52, +/-, IX=53, +/-, IX=54, +/-, IX=55, +/-, IX=56, +/-, IX=57, +/-, IX=58, +/-, IX=59, +/-, IX=60, +/-
3, K, 1.108E-16, 5.5%, 1.101E-16, 3.2%, 1.049E-16, 2.5%, 1.104E-16, 2.1%, 1.087E-16, 1.9%, 1.095E-16, 1.7%, 1.104E-16, 1.6%, 1.079E-16, 1.5%, 1.053E-16, 1.4%, 1.051E-16, 1.3%, 1.012E-16, 1.3%, 1.026E-16, 1.2%, 1.008E-16, 1.2%, 9.516E-17, 1.2%, 9.511E-17, 1.1%, 9.237E-17, 1.1%, 9.007E-17, 1.1%, 8.741E-17, 1.1%, 8.105E-17, 1.1%, 7.804E-17, 1.1%, 7.661E-17, 1.1%, 7.264E-17, 1.1%, 6.841E-17, 1.1%, 6.628E-17, 1.1%, 6.101E-17, 1.1%, 5.801E-17, 1.1%, 5.455E-17, 1.1%, 5.138E-17, 1.1%, 4.773E-17, 1.1%, 4.236E-17, 1.2%, 3.887E-17, 1.2%, 3.500E-17, 1.2%, 3.143E-17, 1.3%, 2.716E-17, 1.4%, 2.446E-17, 1.4%, 2.066E-17, 1.5%, 1.780E-17, 1.6%, 1.487E-17, 1.7%, 1.292E-17, 1.9%, 1.015E-17, 2.1%, 8.154E-18, 2.3%, 6.565E-18, 2.5%, 5.013E-18, 2.8%, 4.202E-18, 3.0%, 3.078E-18, 3.4%, 2.420E-18, 3.8%, 1.832E-18, 4.0%, 1.340E-18, 4.4%, 9.681E-19, 5.0%, 8.303E-19, 4.9%, 6.805E-19, 5.0%, 5.995E-19, 5.1%, 6.094E-19, 5.0%, 5.947E-19, 4.9%, 5.630E-19, 4.7%, 5.343E-19, 4.6%, 4.964E-19, 4.5%, 4.750E-19, 4.3%, 4.609E-19, 4.6%, 4.546E-19, 4.2%
3, DK, 7.437E-01, 5.7%, 7.418E-01, 3.4%, 7.677E-01, 2.7%, 7.363E-01, 2.2%, 7.378E-01, 2.0%, 7.310E-01, 1.8%, 7.194E-01, 1.7%, 7.209E-01, 1.6%, 7.288E-01, 1.5%, 7.236E-01, 1.4%, 7.415E-01, 1.3%, 7.163E-01, 1.3%, 7.124E-01, 1.2%, 7.412E-01, 1.2%, 7.267E-01, 1.2%, 7.277E-01, 1.2%, 7.200E-01, 1.2%, 7.174E-01, 1.1%, 7.506E-01, 1.1%, 7.518E-01, 1.1%, 7.381E-01, 1.1%, 7.464E-01, 1.1%, 7.622E-01, 1.1%, 7.517E-01, 1.1%, 7.810E-01, 1.1%, 7.806E-01, 1.1%, 7.818E-01, 1.2%, 7.874E-01, 1.2%, 7.940E-01, 1.2%, 8.398E-01, 1.2%, 8.536E-01, 1.3%, 8.813E-01, 1.3%, 9.124E-01, 1.3%, 9.685E-01, 1.4%, 9.907E-01, 1.5%, 1.077E+00, 1.6%, 1.139E+00, 1.7%, 1.237E+00, 1.8%, 1.296E+00, 1.9%, 1.487E+00, 2.1%, 1.667E+00, 2.3%, 1.882E+00, 2.5%, 2.232E+00, 2.8%, 2.405E+00, 3.0%, 3.009E+00, 3.5%, 3.463E+00, 3.9%, 4.149E+00, 4.1%, 5.157E+00, 4.5%, 6.557E+00, 5.0%, 6.977E+00, 4.9%, 7.795E+00, 5.1%, 8.153E+00, 5.1%, 7.433E+00, 5.1%, 7.081E+00, 4.9%, 6.924E+00, 4.7%, 6.747E+00, 4.7%, 6.722E+00, 4.5%, 6.440E+00, 4.4%, 5.948E+00, 4.6%, 5.177E+00, 4.3%
4, T, 7.944E-17, 6.0%, 7.765E-17, 3.8%, 7.543E-17, 3.0%, 7.842E-17, 2.5%, 8.016E-17, 2.2%, 7.552E-17, 2.1%, 7.478E-17, 1.9%, 7.685E-17, 1.7%, 7.424E-17, 1.6%, 7.280E-17, 1.6%, 7.094E-17, 1.5%, 7.231E-17, 1.4%, 6.990E-17, 1.4%, 6.838E-17, 1.4%, 6.733E-17, 1.3%, 6.433E-17, 1.3%, 6.325E-17, 1.3%, 6.217E-17, 1.3%, 6.088E-17, 1.2%, 5.758E-17, 1.2%, 5.574E-17, 1.2%, 5.456E-17, 1.2%, 5.169E-17, 1.2%, 4.924E-17, 1.2%, 4.689E-17, 1.2%, 4.456E-17, 1.2%, 4.204E-17, 1.2%, 3.930E-17, 1.2%, 3.714E-17, 1.2%, 3.459E-17, 1.3%, 3.336E-17, 1.3%, 3.078E-17, 1.3%, 2.832E-17, 1.3%, 2.642E-17, 1.3%, 2.433E-17, 1.4%, 2.223E-17, 1.4%, 2.031E-17, 1.5%, 1.829E-17, 1.5%, 1.634E-17, 1.5%, 1.523E-17, 1.6%, 1.399E-17, 1.6%, 1.266E-17, 1.7%, 1.130E-17, 1.7%, 1.033E-17, 1.8%, 9.481E-18, 1.8%, 8.496E-18, 1.9%, 7.703E-18, 1.9%, 7.084E-18, 2.0%, 6.603E-18, 2.1%, 5.813E-18, 2.1%, 5.381E-18, 2.2%, 5.036E-18, 2.2%, 4.720E-18, 2.3%, 4.341E-18, 2.3%, 4.204E-18, 2.4%, 3.651E-18, 2.5%, 3.326E-18, 2.6%, 3.103E-18, 2.7%, 2.871E-18, 2.8%, 2.367E-18, 2.7%
4, TS, 7.420E-17, 6.0%, 7.241E-17, 3.7%, 7.036E-17, 3.0%, 7.309E-17, 2.5%, 7.473E-17, 2.2%, 7.039E-17, 2.0%, 6.974E-17, 1.9%, 7.163E-17, 1.7%, 6.927E-17, 1.6%, 6.791E-17, 1.6%, 6.615E-17, 1.5%, 6.747E-17, 1.4%, 6.522E-17, 1.4%, 6.376E-17, 1.4%, 6.282E-17, 1.3%, 5.996E-17, 1.3%, 5.903E-17, 1.3%, 5.798E-17, 1.2%, 5.677E-17, 1.2%, 5.371E-17, 1.2%, 5.201E-17, 1.2%, 5.087E-17, 1.2%, 4.822E-17, 1.2%, 4.591E-17, 1.2%, 4.371E-17, 1.2%, 4.156E-17, 1.2%, 3.922E-17, 1.2%, 3.666E-17, 1.2%, 3.465E-17, 1.2%, 3.228E-17, 1.3%, 3.111E-17, 1.3%, 2.870E-17, 1.3%, 2.642E-17, 1.3%, 2.463E-17, 1.3%, 2.269E-17, 1.4%, 2.073E-17, 1.4%, 1.893E-17, 1.4%, 1.707E-17, 1.5%, 1.524E-17, 1.5%, 1.421E-17, 1.6%, 1.305E-17, 1.6%, 1.180E-17, 1.7%, 1.055E-17, 1.7%, 9.642E-18, 1.8%, 8.847E-18, 1.8%, 7.924E-18, 1.9%, 7.194E-18, 1.9%, 6.609E-18, 2.0%, 6.162E-18, 2.1%, 5.435E-18, 2.1%, 5.023E-18, 2.2%, 4.698E-18, 2.2%, 4.405E-18, 2.3%, 4.052E-18, 2.3%, 3.921E-18, 2.4%, 3.412E-18, 2.4%, 3.099E-18, 2.6%, 2.899E-18, 2.7%, 2.679E-18, 2.8%, 2.212E-18, 2.7%
4, K, 5.833E-17, 26.3%, 1.084E-16, 15.0%, 1.046E-16, 11.1%, 9.802E-17, 10.0%, 1.124E-16, 8.2%, 1.006E-16, 7.5%, 1.080E-16, 6.9%, 1.059E-16, 6.4%, 9.955E-17, 6.2%, 9.940E-17, 6.0%, 1.065E-16, 5.4%, 9.867E-17, 5.4%, 9.699E-17, 5.2%, 1.050E-16, 5.0%, 8.973E-17, 4.9%, 9.321E-17, 4.8%, 8.471E-17, 4.8%, 8.806E-17, 4.6%, 7.989E-17, 4.9%, 7.786E-17, 4.7%, 6.559E-17, 4.8%, 6.718E-17, 4.7%, 7.731E-17, 4.5%, 6.411E-17, 4.6%, 6.665E-17, 4.6%, 5.782E-17, 4.7%, 5.217E-17, 4.8%, 4.875E-17, 4.9%, 4.382E-17, 5.1%, 4.238E-17, 5.1%, 3.765E-17, 5.4%, 3.675E-17, 5.4%, 2.971E-17, 5.8%, 2.754E-17, 5.9%, 2.462E-17, 6.3%, 2.165E-17, 6.4%, 1.635E-17, 7.0%, 1.705E-17, 7.6%, 1.424E-17, 7.6%, 1.177E-17, 8.7%, 9.185E-18, 9.5%, 8.072E-18, 9.8%, 4.622E-18, 12.8%, 5.183E-18, 12.1%, 2.784E-18, 15.4%, 2.711E-18, 14.0%, 1.817E-18, 17.7%, 1.514E-18, 18.7%, 1.214E-18, 17.0%, 6.417E-19, 21.1%, 5.799E-19, 25.0%, 6.530E-19, 21.7%, 6.955E-19, 22.8%, 6.068E-19, 21.9%, 7.903E-19, 19.6%, 5.908E-19, 20.1%, 8.037E-19, 21.4%, 5.687E-19, 16.9%, 4.895E-19, 19.7%, 5.977E-19, 16.1%
4, DK, 1.362E+00, 27.0%, 7.166E-01, 15.5%, 7.212E-01, 11.5%, 8.000E-01, 10.3%, 7.131E-01, 8.5%, 7.507E-01, 7.8%, 6.921E-01, 7.1%, 7.260E-01, 6.7%, 7.458E-01, 6.4%, 7.324E-01, 6.2%, 6.658E-01, 5.6%, 7.329E-01, 5.6%, 7.207E-01, 5.3%, 6.515E-01, 5.2%, 7.503E-01, 5.1%, 6.901E-01, 5.0%, 7.467E-01, 5.0%, 7.059E-01, 4.8%, 7.621E-01, 5.0%, 7.396E-01, 4.8%, 8.498E-01, 4.9%, 8.121E-01, 4.9%, 6.687E-01, 4.7%, 7.681E-01, 4.8%, 7.035E-01, 4.7%, 7.707E-01, 4.9%, 8.058E-01, 5.0%, 8.061E-01, 5.0%, 8.477E-01, 5.2%, 8.163E-01, 5.3%, 8.860E-01, 5.5%, 8.375E-01, 5.6%, 9.534E-01, 5.9%, 9.594E-01, 6.1%, 9.883E-01, 6.4%, 1.027E+00, 6.6%, 1.242E+00, 7.2%, 1.073E+00, 7.7%, 1.147E+00, 7.7%, 1.294E+00, 8.8%, 1.523E+00, 9.6%, 1.568E+00, 9.9%, 2.445E+00, 12.9%, 1.994E+00, 12.2%, 3.405E+00, 15.5%, 3.134E+00, 14.1%, 4.239E+00, 17.8%, 4.679E+00, 18.8%, 5.441E+00, 17.1%, 9.059E+00, 21.2%, 9.280E+00, 25.1%, 7.711E+00, 21.8%, 6.785E+00, 22.9%, 7.154E+00, 22.0%, 5.320E+00, 19.8%, 6.179E+00, 20.2%, 4.139E+00, 21.6%, 5.456E+00, 17.1%, 5.867E+00, 19.9%, 3.961E+00, 16.3%
5, T, 7.665E-17, 1.7%, 7.667E-17, 1.1%, 7.600E-17, 0.9%, 7.509E-17, 0.8%, 7.567E-17, 0.7%, 7.500E-17, 0.6%, 7.397E-17, 0.6%, 7.320E-17, 0.5%, 7.244E-17, 0.5%, 7.168E-17, 0.5%, 7.052E-17, 0.5%, 6.940E-17, 0.4%, 6.812E-17, 0.4%, 6.667E-17, 0.4%, 6.481E-17, 0.4%, 6.314E-17, 0.4%, 6.117E-17, 0.4%, 5.950E-17, 0.4%, 5.758E-17, 0.4%, 5.586E-17, 0.4%, 5.348E-17, 0.4%, 5.155E-17, 0.4%, 4.945E-17, 0.4%, 4.743E-17, 0.4%, 4.526E-17, 0.4%, 4.326E-17, 0.4%, 4.099E-17, 0.4%, 3.865E-17, 0.4%, 3.628E-17, 0.4%, 3.433E-17, 0.4%, 3.220E-17, 0.4%, 2.996E-17, 0.4%, 2.781E-17, 0.4%, 2.572E-17, 0.4%, 2.358E-17, 0.4%, 2.165E-17, 0.4%, 1.992E-17, 0.4%, 1.826E-17, 0.4%, 1.654E-17, 0.5%, 1.500E-17, 0.5%, 1.365E-17, 0.5%, 1.237E-17, 0.5%, 1.124E-17, 0.5%, 1.023E-17, 0.5%, 9.221E-18, 0.5%, 8.354E-18, 0.6%, 7.632E-18, 0.6%, 7.018E-18, 0.6%, 6.422E-18, 0.6%, 5.896E-18, 0.6%, 5.450E-18, 0.6%, 5.035E-18, 0.6%, 4.664E-18, 0.6%, 4.299E-18, 0.7%, 3.994E-18, 0.7%, 3.718E-18, 0.7%, 3.415E-18, 0.7%, 3.159E-18, 0.7%, 2.849E-18, 0.7%, 2.436E-18, 0.7%
5, TS, 7.152E-17, 1.7%, 7.151E-17, 1.1%, 7.089E-17, 0.9%, 7.004E-17, 0.8%, 7.058E-17, 0.7%, 6.996E-17, 0.6%, 6.901E-17, 0.6%, 6.828E-17, 0.5%, 6.758E-17, 0.5%, 6.686E-17, 0.5%, 6.578E-17, 0.5%, 6.474E-17, 0.4%, 6.355E-17, 0.4%, 6.219E-17, 0.4%, 6.046E-17, 0.4%, 5.891E-17, 0.4%, 5.706E-17, 0.4%, 5.550E-17, 0.4%, 5.371E-17, 0.4%, 5.210E-17, 0.4%, 4.990E-17, 0.4%, 4.810E-17, 0.4%, 4.613E-17, 0.4%, 4.424E-17, 0.4%, 4.223E-17, 0.4%, 4.035E-17, 0.4%, 3.823E-17, 0.4%, 3.606E-17, 0.4%, 3.385E-17, 0.4%, 3.203E-17, 0.4%, 3.004E-17, 0.4%, 2.795E-17, 0.4%, 2.594E-17, 0.4%, 2.400E-17, 0.4%, 2.200E-17, 0.4%, 2.020E-17, 0.4%, 1.859E-17, 0.4%, 1.704E-17, 0.4%, 1.543E-17, 0.5%, 1.400E-17, 0.5%, 1.274E-17, 0.5%, 1.154E-17, 0.5%, 1.049E-17, 0.5%, 9.548E-18, 0.5%, 8.606E-18, 0.5%, 7.797E-18, 0.5%, 7.124E-18, 0.6%, 6.550E-18, 0.6%, 5.994E-18, 0.6%, 5.503E-18, 0.6%, 5.084E-18, 0.6%, 4.701E-18, 0.6%, 4.352E-18, 0.6%, 4.014E-18, 0.7%, 3.729E-18, 0.7%, 3.470E-18, 0.7%, 3.186E-18, 0.7%, 2.947E-18, 0.7%, 2.660E-18, 0.7%, 2.274E-18, 0.7%
5, K, 1.078E-16, 5.7%, 1.052E-16, 3.4%, 1.020E-16, 2.6%, 1.054E-16, 2.2%, 1.065E-16, 2.0%, 1.060E-16, 1.8%, 9.962E-17, 1.7%, 1.017E-16, 1.5%, 1.019E-16, 1.5%, 9.836E-17, 1.4%, 9.718E-17, 1.3%, 9.451E-17, 1.3%, 9.466E-17, 1.2%, 9.243E-17, 1.2%, 9.079E-17, 1.2%, 8.690E-17, 1.2%, 8.359E-17, 1.1%, 7.992E-17, 1.1%, 7.941E-17, 1.1%, 7.541E-17, 1.1%, 6.988E-17, 1.1%, 6.684E-17, 1.1%, 6.511E-17, 1.1%, 6.278E-17, 1.1%, 5.878E-17, 1.1%, 5.571E-17, 1.1%, 5.199E-17, 1.1%, 4.850E-17, 1.2%, 4.382E-17, 1.2%, 4.151E-17, 1.2%, 3.832E-17, 1.2%, 3.460E-17, 1.3%, 3.030E-17, 1.3%, 2.659E-17, 1.4%, 2.403E-17, 1.5%, 2.106E-17, 1.6%, 1.799E-17, 1.6%, 1.491E-17, 1.8%, 1.275E-17, 1.9%, 1.061E-17, 2.0%, 8.846E-18, 2.2%, 7.119E-18, 2.4%, 5.569E-18, 2.7%, 4.463E-18, 3.0%, 3.350E-18, 3.3%, 2.681E-18, 3.6%, 1.903E-18, 4.0%, 1.483E-18, 4.3%, 1.294E-18, 4.6%, 9.566E-19, 4.9%, 8.568E-19, 5.0%, 6.898E-19, 5.3%, 6.252E-19, 5.5%, 6.074E-19, 5.2%, 5.374E-19, 5.0%, 5.835E-19, 4.8%, 5.623E-19, 4.7%, 5.302E-19, 4.8%, 5.116E-19, 4.7%, 4.601E-19, 4.5%
5, DK, 7.112E-01, 5.9%, 7.290E-01, 3.5%, 7.452E-01, 2.8%, 7.121E-01, 2.3%, 7.104E-01, 2.1%, 7.074E-01, 1.9%, 7.426E-01, 1.8%, 7.200E-01, 1.6%, 7.105E-01, 1.5%, 7.288E-01, 1.5%, 7.256E-01, 1.4%, 7.344E-01, 1.4%, 7.196E-01, 1.3%, 7.213E-01, 1.3%, 7.138E-01, 1.2%, 7.266E-01, 1.2%, 7.319E-01, 1.2%, 7.445E-01, 1.2%, 7.250E-01, 1.2%, 7.408E-01, 1.2%, 7.654E-01, 1.2%, 7.713E-01, 1.2%, 7.594E-01, 1.2%, 7.554E-01, 1.2%, 7.700E-01, 1.2%, 7.765E-01, 1.2%, 7.883E-01, 1.2%, 7.968E-01, 1.2%, 8.281E-01, 1.3%, 8.271E-01, 1.3%, 8.403E-01, 1.3%, 8.659E-01, 1.3%, 9.177E-01, 1.4%, 9.675E-01, 1.5%, 9.812E-01, 1.5%, 1.028E+00, 1.6%, 1.107E+00, 1.7%, 1.225E+00, 1.8%, 1.297E+00, 2.0%, 1.414E+00, 2.1%, 1.543E+00, 2.3%, 1.738E+00, 2.5%, 2.018E+00, 2.8%, 2.293E+00, 3.1%, 2.752E+00, 3.3%, 3.115E+00, 3.6%, 4.011E+00, 4.1%, 4.732E+00, 4.4%, 4.963E+00, 4.6%, 6.164E+00, 4.9%, 6.360E+00, 5.0%, 7.299E+00, 5.3%, 7.459E+00, 5.5%, 7.077E+00, 5.2%, 7.432E+00, 5.0%, 6.372E+00, 4.9%, 6.072E+00, 4.7%, 5.957E+00, 4.8%, 5.569E+00, 4.8%, 5.294E+00, 4.6%
6, T, 7.968E-17, 5.9%, 7.227E-17, 4.0%, 7.081E-17, 3.2%, 6.632E-17, 2.7%, 6.906E-17, 2.3%, 7.048E-17, 2.1%, 7.091E-17, 1.9%, 6.914E-17, 1.8%, 6.715E-17, 1.7%, 6.751E-17, 1.6%, 6.584E-17, 1.5%, 6.530E-17, 1.5%, 6.397E-17, 1.4%, 6.177E-17, 1.4%, 6.064E-17, 1.4%, 5.881E-17, 1.4%, 5.802E-17, 1.3%, 5.436E-17, 1.3%, 5.348E-17, 1.3%, 5.131E-17, 1.3%, 5.028E-17, 1.3%, 4.870E-17, 1.3%, 4.633E-17, 1.2%, 4.449E-17, 1.3%, 4.194E-17, 1.2%, 4.062E-17, 1.3%, 3.803E-17, 1.3%, 3.599E-17, 1.3%, 3.460E-17, 1.3%, 3.217E-17, 1.3%, 3.047E-17, 1.3%, 2.842E-17, 1.3%, 2.665E-17, 1.4%, 2.400E-17, 1.4%, 2.243E-17, 1.4%, 2.047E-17, 1.5%, 1.825E-17, 1.5%, 1.662E-17, 1.6%, 1.531E-17, 1.6%, 1.394E-17, 1.7%, 1.269E-17, 1.7%, 1.141E-17, 1.8%, 1.025E-17, 1.8%, 9.535E-18, 1.9%, 8.620E-18, 1.9%, 7.774E-18, 2.0%, 7.109E-18, 2.1%, 6.480E-18, 2.1%, 6.002E-18, 2.2%, 5.502E-18, 2.2%, 4.878E-18, 2.3%, 4.550E-18, 2.3%, 4.251E-18, 2.4%, 4.083E-18, 2.5%, 3.845E-18, 2.5%, 3.452E-18, 2.5%, 3.369E-18, 2.7%, 2.988E-18, 2.7%, 2.603E-18, 2.8%, 2.275E-18, 2.8%
6, TS, 7.433E-17, 5.9%, 6.740E-17, 4.0%, 6.598E-17, 3.2%, 6.191E-17, 2.7%, 6.442E-17, 2.3%, 6.574E-17, 2.1%, 6.618E-17, 1.9%, 6.453E-17, 1.8%, 6.263E-17, 1.7%, 6.294E-17, 1.6%, 6.142E-17, 1.5%, 6.097E-17, 1.5%, 5.968E-17, 1.4%, 5.766E-17, 1.4%, 5.656E-17, 1.4%, 5.487E-17, 1.3%, 5.411E-17, 1.3%, 5.072E-17, 1.3%, 4.991E-17, 1.3%, 4.789E-17, 1.3%, 4.692E-17, 1.3%, 4.542E-17, 1.3%, 4.323E-17, 1.2%, 4.153E-17, 1.3%, 3.914E-17, 1.2%, 3.790E-17, 1.3%, 3.548E-17, 1.3%, 3.358E-17, 1.3%, 3.228E-17, 1.3%, 3.001E-17, 1.3%, 2.842E-17, 1.3%, 2.652E-17, 1.3%, 2.488E-17, 1.4%, 2.239E-17, 1.4%, 2.095E-17, 1.4%, 1.910E-17, 1.5%, 1.702E-17, 1.5%, 1.551E-17, 1.5%, 1.429E-17, 1.6%, 1.302E-17, 1.7%, 1.185E-17, 1.7%, 1.064E-17, 1.8%, 9.562E-18, 1.8%, 8.891E-18, 1.9%, 8.040E-18, 1.9%, 7.253E-18, 2.0%, 6.639E-18, 2.0%, 6.050E-18, 2.1%, 5.601E-18, 2.2%, 5.134E-18, 2.2%, 4.558E-18, 2.2%, 4.250E-18, 2.3%, 3.968E-18, 2.3%, 3.815E-18, 2.5%, 3.590E-18, 2.5%, 3.220E-18, 2.5%, 3.145E-18, 2.6%, 2.791E-18, 2.7%, 2.433E-18, 2.8%, 2.124E-18, 2.8%
6, K, 9.667E-17, 25.7%, 8.708E-17, 16.7%, 1.060E-16, 11.2%, 9.570E-17, 9.7%, 1.128E-16, 8.1%, 1.054E-16, 7.7%, 1.018E-16, 7.4%, 9.934E-17, 6.6%, 8.782E-17, 6.5%, 9.818E-17, 6.1%, 8.827E-17, 5.9%, 1.048E-16, 5.3%, 9.057E-17, 5.4%, 8.433E-17, 5.4%, 8.383E-17, 5.3%, 7.627E-17, 5.2%, 8.531E-17, 4.9%, 7.496E-17, 5.0%, 6.722E-17, 5.1%, 7.258E-17, 4.9%, 6.783E-17, 4.9%, 6.497E-17, 4.8%, 6.810E-17, 4.8%, 6.014E-17, 4.9%, 5.590E-17, 5.1%, 5.478E-17, 4.9%, 4.422E-17, 5.2%, 4.864E-17, 5.0%, 4.507E-17, 5.1%, 3.789E-17, 5.3%, 3.682E-17, 5.4%, 3.366E-17, 5.7%, 2.971E-17, 5.8%, 2.547E-17, 6.1%, 2.158E-17, 6.5%, 2.137E-17, 6.5%, 1.675E-17, 7.0%, 1.383E-17, 7.9%, 1.139E-17, 8.4%, 1.268E-17, 8.3%, 8.368E-18, 9.8%, 7.990E-18, 10.4%, 7.333E-18, 10.5%, 5.256E-18, 12.3%, 3.858E-18, 14.7%, 2.647E-18, 15.0%, 1.775E-18, 18.8%, 1.310E-18, 19.2%, 1.225E-18, 21.9%, 1.151E-18, 20.3%, 6.409E-19, 24.5%, 6.983E-19, 24.5%, 1.023E-18, 19.4%, 4.006E-19, 23.6%, 5.288E-19, 22.2%, 6.731E-19, 21.4%, 6.055E-19, 20.4%, 4.444E-19, 19.5%, 5.863E-19, 19.9%, 4.481E-19, 21.2%
6, DK, 8.242E-01, 26.4%, 8.299E-01, 17.2%, 6.682E-01, 11.6%, 6.929E-01, 10.1%, 6.121E-01, 8.4%, 6.684E-01, 8.0%, 6.968E-01, 7.6%, 6.961E-01, 6.8%, 7.646E-01, 6.7%, 6.876E-01, 6.3%, 7.460E-01, 6.1%, 6.233E-01, 5.5%, 7.063E-01, 5.6%, 7.325E-01, 5.5%, 7.234E-01, 5.4%, 7.711E-01, 5.3%, 6.800E-01, 5.1%, 7.252E-01, 5.1%, 7.955E-01, 5.2%, 7.069E-01, 5.1%, 7.413E-01, 5.0%, 7.496E-01, 5.0%, 6.803E-01, 5.0%, 7.398E-01, 5.0%, 7.502E-01, 5.2%, 7.415E-01, 5.0%, 8.600E-01, 5.3%, 7.400E-01, 5.1%, 7.677E-01, 5.3%, 8.491E-01, 5.5%, 8.275E-01, 5.6%, 8.442E-01, 5.8%, 8.971E-01, 6.0%, 9.426E-01, 6.3%, 1.039E+00, 6.7%, 9.575E-01, 6.7%, 1.089E+00, 7.2%, 1.202E+00, 8.0%, 1.344E+00, 8.6%, 1.100E+00, 8.5%, 1.517E+00, 9.9%, 1.428E+00, 10.5%, 1.397E+00, 10.7%, 1.814E+00, 12.4%, 2.234E+00, 14.8%, 2.937E+00, 15.1%, 4.005E+00, 18.9%, 4.945E+00, 19.3%, 4.901E+00, 22.0%, 4.779E+00, 20.4%, 7.611E+00, 24.6%, 6.516E+00, 24.6%, 4.155E+00, 19.5%, 1.019E+01, 23.7%, 7.272E+00, 22.3%, 5.129E+00, 21.5%, 5.564E+00, 20.6%, 6.724E+00, 19.7%, 4.440E+00, 20.1%, 5.077E+00, 21.4%
7, T, 4.340E-17, 2.6%, 4.276E-17, 1.7%, 4.272E-17, 1.4%, 4.214E-17, 1.2%, 4.215E-17, 1.1%, 4.168E-17, 1.0%, 4.149E-17, 0.9%, 4.109E-17, 0.8%, 4.079E-17, 0.8%, 4.054E-17, 0.8%, 3.989E-17, 0.7%, 3.934E-17, 0.7%, 3.873E-17, 0.7%, 3.779E-17, 0.7%, 3.706E-17, 0.6%, 3.632E-17, 0.6%, 3.527E-17, 0.6%, 3.448E-17, 0.6%, 3.349E-17, 0.6%, 3.269E-17, 0.6%, 3.178E-17, 0.6%, 3.055E-17, 0.6%, 2.969E-17, 0.6%, 2.859E-17, 0.6%, 2.768E-17, 0.6%, 2.647E-17, 0.6%, 2.540E-17, 0.6%, 2.453E-17, 0.6%, 2.343E-17, 0.6%, 2.222E-17, 0.6%, 2.119E-17, 0.6%, 2.017E-17, 0.6%, 1.923E-17, 0.6%, 1.809E-17, 0.6%, 1.690E-17, 0.6%, 1.600E-17, 0.6%, 1.503E-17, 0.6%, 1.413E-17, 0.6%, 1.333E-17, 0.6%, 1.254E-17, 0.6%, 1.184E-17, 0.6%, 1.111E-17, 0.6%, 1.054E-17, 0.6%, 9.865E-18, 0.6%, 9.238E-18, 0.6%, 8.652E-18, 0.6%, 8.135E-18, 0.6%, 7.644E-18, 0.6%, 7.280E-18, 0.6%, 6.890E-18, 0.6%, 6.562E-18, 0.7%, 6.210E-18, 0.7%, 5.840E-18, 0.7%, 5.509E-18, 0.7%, 5.193E-18, 0.7%, 4.928E-18, 0.7%, 4.671E-18, 0.7%, 4.404E-18, 0.7%, 4.088E-18, 0.7%, 3.691E-18, 0.7%
