IRL, Te-, +-, E1, +-, Tph, +-, E2, +-, Te+, +-, E3, +-, Pe-, +-, E4, +-, Pph, +-, E5, +-, Pe+, +-, E6, +-
20, 2.212E-07, 0.6%, 1.021E+00, 0.5%, 1.542E-05, 0.4%, 1.755E+00, 0.3%, 2.791E-09, 4.7%, 1.237E+00, 2.9%, 2.095E-07, 0.6%, 1.069E+00, 0.5%, 1.541E-05, 0.4%, 1.756E+00, 0.3%, 2.791E-09, 4.7%, 1.237E+00, 2.9%
21, 2.194E-07, 0.6%, 1.021E+00, 0.5%, 1.529E-05, 0.4%, 1.759E+00, 0.3%, 2.871E-09, 4.6%, 1.229E+00, 3.0%, 2.080E-07, 0.6%, 1.068E+00, 0.5%, 1.529E-05, 0.4%, 1.759E+00, 0.3%, 2.871E-09, 4.6%, 1.229E+00, 3.0%
22, 2.203E-07, 0.6%, 1.024E+00, 0.5%, 1.517E-05, 0.4%, 1.761E+00, 0.3%, 2.995E-09, 4.5%, 1.193E+00, 3.2%, 2.092E-07, 0.6%, 1.069E+00, 0.5%, 1.516E-05, 0.4%, 1.762E+00, 0.3%, 2.995E-09, 4.5%, 1.193E+00, 3.2%
23, 2.187E-07, 0.6%, 1.029E+00, 0.5%, 1.505E-05, 0.4%, 1.764E+00, 0.3%, 2.949E-09, 4.6%, 1.186E+00, 3.1%, 2.072E-07, 0.6%, 1.077E+00, 0.5%, 1.505E-05, 0.4%, 1.765E+00, 0.3%, 2.949E-09, 4.6%, 1.186E+00, 3.1%
24, 2.178E-07, 0.6%, 1.033E+00, 0.5%, 1.493E-05, 0.4%, 1.767E+00, 0.3%, 3.094E-09, 4.6%, 1.186E+00, 2.9%, 2.066E-07, 0.6%, 1.080E+00, 0.5%, 1.492E-05, 0.4%, 1.767E+00, 0.3%, 3.094E-09, 4.6%, 1.186E+00, 2.9%
25, 2.166E-07, 0.6%, 1.031E+00, 0.5%, 1.480E-05, 0.4%, 1.769E+00, 0.3%, 2.994E-09, 4.5%, 1.116E+00, 3.1%, 2.055E-07, 0.6%, 1.078E+00, 0.5%, 1.479E-05, 0.4%, 1.769E+00, 0.3%, 2.994E-09, 4.5%, 1.116E+00, 3.1%
26, 2.144E-07, 0.6%, 1.030E+00, 0.5%, 1.467E-05, 0.4%, 1.772E+00, 0.3%, 2.983E-09, 4.5%, 1.175E+00, 3.3%, 2.033E-07, 0.6%, 1.077E+00, 0.5%, 1.467E-05, 0.4%, 1.773E+00, 0.3%, 2.983E-09, 4.5%, 1.175E+00, 3.3%
27, 2.136E-07, 0.6%, 1.025E+00, 0.5%, 1.455E-05, 0.4%, 1.775E+00, 0.3%, 3.234E-09, 4.3%, 1.196E+00, 3.1%, 2.024E-07, 0.6%, 1.073E+00, 0.5%, 1.454E-05, 0.4%, 1.775E+00, 0.3%, 3.234E-09, 4.3%, 1.196E+00, 3.1%
28, 2.116E-07, 0.6%, 1.029E+00, 0.5%, 1.442E-05, 0.4%, 1.778E+00, 0.3%, 3.043E-09, 4.5%, 1.210E+00, 3.2%, 2.004E-07, 0.6%, 1.077E+00, 0.5%, 1.442E-05, 0.4%, 1.778E+00, 0.3%, 3.043E-09, 4.5%, 1.210E+00, 3.2%
29, 2.100E-07, 0.6%, 1.027E+00, 0.5%, 1.431E-05, 0.4%, 1.780E+00, 0.3%, 2.916E-09, 4.5%, 1.151E+00, 3.2%, 1.989E-07, 0.6%, 1.075E+00, 0.5%, 1.430E-05, 0.4%, 1.781E+00, 0.3%, 2.916E-09, 4.5%, 1.151E+00, 3.2%
30, 2.074E-07, 0.6%, 1.033E+00, 0.5%, 1.419E-05, 0.4%, 1.783E+00, 0.3%, 2.830E-09, 4.7%, 1.228E+00, 3.3%, 1.965E-07, 0.6%, 1.081E+00, 0.5%, 1.419E-05, 0.4%, 1.784E+00, 0.3%, 2.830E-09, 4.7%, 1.228E+00, 3.3%
31, 2.074E-07, 0.6%, 1.042E+00, 0.5%, 1.408E-05, 0.4%, 1.786E+00, 0.3%, 2.670E-09, 4.8%, 1.225E+00, 3.3%, 1.964E-07, 0.6%, 1.090E+00, 0.5%, 1.407E-05, 0.4%, 1.787E+00, 0.3%, 2.670E-09, 4.8%, 1.225E+00, 3.3%
32, 2.054E-07, 0.6%, 1.035E+00, 0.5%, 1.397E-05, 0.4%, 1.789E+00, 0.3%, 2.846E-09, 4.6%, 1.146E+00, 3.0%, 1.946E-07, 0.6%, 1.082E+00, 0.5%, 1.396E-05, 0.4%, 1.790E+00, 0.3%, 2.846E-09, 4.6%, 1.146E+00, 3.0%
33, 2.065E-07, 0.6%, 1.033E+00, 0.5%, 1.385E-05, 0.4%, 1.792E+00, 0.3%, 2.822E-09, 4.7%, 1.179E+00, 3.2%, 1.957E-07, 0.6%, 1.081E+00, 0.5%, 1.385E-05, 0.4%, 1.792E+00, 0.3%, 2.822E-09, 4.7%, 1.179E+00, 3.2%
34, 2.045E-07, 0.6%, 1.036E+00, 0.5%, 1.374E-05, 0.4%, 1.795E+00, 0.3%, 2.932E-09, 4.6%, 1.270E+00, 3.4%, 1.935E-07, 0.6%, 1.085E+00, 0.5%, 1.374E-05, 0.4%, 1.795E+00, 0.3%, 2.932E-09, 4.6%, 1.270E+00, 3.4%
35, 2.034E-07, 0.6%, 1.037E+00, 0.5%, 1.363E-05, 0.4%, 1.797E+00, 0.3%, 2.898E-09, 4.7%, 1.256E+00, 3.2%, 1.928E-07, 0.6%, 1.086E+00, 0.5%, 1.363E-05, 0.4%, 1.798E+00, 0.3%, 2.893E-09, 4.7%, 1.257E+00, 3.2%
36, 2.019E-07, 0.6%, 1.037E+00, 0.5%, 1.352E-05, 0.4%, 1.800E+00, 0.3%, 2.866E-09, 4.6%, 1.186E+00, 3.3%, 1.912E-07, 0.6%, 1.086E+00, 0.5%, 1.352E-05, 0.4%, 1.801E+00, 0.3%, 2.866E-09, 4.6%, 1.186E+00, 3.3%
37, 1.991E-07, 0.6%, 1.045E+00, 0.5%, 1.341E-05, 0.4%, 1.802E+00, 0.3%, 2.818E-09, 4.7%, 1.152E+00, 3.3%, 1.885E-07, 0.6%, 1.094E+00, 0.5%, 1.341E-05, 0.4%, 1.803E+00, 0.3%, 2.818E-09, 4.7%, 1.152E+00, 3.3%
38, 1.972E-07, 0.6%, 1.039E+00, 0.5%, 1.330E-05, 0.4%, 1.805E+00, 0.3%, 2.633E-09, 4.8%, 1.204E+00, 3.3%, 1.868E-07, 0.6%, 1.088E+00, 0.5%, 1.330E-05, 0.4%, 1.805E+00, 0.3%, 2.633E-09, 4.8%, 1.204E+00, 3.3%
39, 1.970E-07, 0.6%, 1.046E+00, 0.5%, 1.320E-05, 0.4%, 1.807E+00, 0.3%, 2.785E-09, 4.7%, 1.216E+00, 3.2%, 1.867E-07, 0.6%, 1.094E+00, 0.5%, 1.319E-05, 0.4%, 1.808E+00, 0.3%, 2.785E-09, 4.7%, 1.216E+00, 3.2%
40, 1.970E-07, 0.6%, 1.046E+00, 0.5%, 1.309E-05, 0.4%, 1.810E+00, 0.3%, 2.863E-09, 4.7%, 1.233E+00, 3.3%, 1.864E-07, 0.6%, 1.096E+00, 0.5%, 1.309E-05, 0.4%, 1.811E+00, 0.3%, 2.863E-09, 4.7%, 1.233E+00, 3.3%
41, 1.971E-07, 0.6%, 1.039E+00, 0.5%, 1.299E-05, 0.4%, 1.813E+00, 0.3%, 2.831E-09, 4.6%, 1.229E+00, 3.2%, 1.866E-07, 0.6%, 1.088E+00, 0.5%, 1.298E-05, 0.4%, 1.813E+00, 0.3%, 2.831E-09, 4.6%, 1.229E+00, 3.2%
42, 1.935E-07, 0.6%, 1.039E+00, 0.5%, 1.288E-05, 0.4%, 1.816E+00, 0.3%, 2.806E-09, 4.7%, 1.241E+00, 3.2%, 1.835E-07, 0.6%, 1.087E+00, 0.5%, 1.288E-05, 0.4%, 1.816E+00, 0.3%, 2.806E-09, 4.7%, 1.241E+00, 3.2%
43, 1.906E-07, 0.6%, 1.041E+00, 0.5%, 1.278E-05, 0.4%, 1.818E+00, 0.3%, 2.603E-09, 4.9%, 1.215E+00, 3.2%, 1.807E-07, 0.6%, 1.090E+00, 0.5%, 1.277E-05, 0.4%, 1.819E+00, 0.3%, 2.603E-09, 4.9%, 1.215E+00, 3.2%
44, 1.913E-07, 0.6%, 1.050E+00, 0.5%, 1.267E-05, 0.4%, 1.821E+00, 0.3%, 2.695E-09, 4.7%, 1.234E+00, 3.2%, 1.814E-07, 0.6%, 1.098E+00, 0.5%, 1.267E-05, 0.4%, 1.822E+00, 0.3%, 2.695E-09, 4.7%, 1.234E+00, 3.2%
45, 1.896E-07, 0.6%, 1.047E+00, 0.5%, 1.257E-05, 0.4%, 1.824E+00, 0.3%, 2.523E-09, 4.8%, 1.182E+00, 3.4%, 1.794E-07, 0.6%, 1.097E+00, 0.5%, 1.256E-05, 0.4%, 1.824E+00, 0.3%, 2.523E-09, 4.8%, 1.182E+00, 3.4%
46, 1.868E-07, 0.6%, 1.054E+00, 0.5%, 1.247E-05, 0.4%, 1.827E+00, 0.3%, 2.715E-09, 4.7%, 1.182E+00, 3.3%, 1.769E-07, 0.6%, 1.103E+00, 0.5%, 1.247E-05, 0.4%, 1.827E+00, 0.3%, 2.715E-09, 4.7%, 1.182E+00, 3.3%
47, 1.863E-07, 0.6%, 1.044E+00, 0.5%, 1.237E-05, 0.4%, 1.829E+00, 0.3%, 2.640E-09, 4.8%, 1.221E+00, 3.3%, 1.767E-07, 0.6%, 1.092E+00, 0.5%, 1.237E-05, 0.4%, 1.830E+00, 0.3%, 2.640E-09, 4.8%, 1.221E+00, 3.3%
48, 1.856E-07, 0.6%, 1.046E+00, 0.5%, 1.227E-05, 0.4%, 1.832E+00, 0.3%, 2.542E-09, 4.9%, 1.138E+00, 3.5%, 1.755E-07, 0.6%, 1.097E+00, 0.5%, 1.227E-05, 0.4%, 1.833E+00, 0.3%, 2.542E-09, 4.9%, 1.138E+00, 3.5%
49, 1.845E-07, 0.6%, 1.068E+00, 0.5%, 1.217E-05, 0.4%, 1.835E+00, 0.3%, 2.476E-09, 5.0%, 1.241E+00, 3.3%, 1.746E-07, 0.6%, 1.118E+00, 0.5%, 1.217E-05, 0.4%, 1.836E+00, 0.3%, 2.476E-09, 5.0%, 1.241E+00, 3.3%
50, 1.806E-07, 0.6%, 1.066E+00, 0.5%, 1.206E-05, 0.4%, 1.839E+00, 0.3%, 2.558E-09, 4.8%, 1.185E+00, 3.3%, 1.708E-07, 0.6%, 1.117E+00, 0.5%, 1.206E-05, 0.4%, 1.840E+00, 0.3%, 2.558E-09, 4.8%, 1.185E+00, 3.3%
51, 1.777E-07, 0.6%, 1.061E+00, 0.5%, 1.195E-05, 0.4%, 1.845E+00, 0.3%, 2.620E-09, 4.8%, 1.150E+00, 3.1%, 1.682E-07, 0.6%, 1.111E+00, 0.5%, 1.194E-05, 0.4%, 1.845E+00, 0.3%, 2.620E-09, 4.8%, 1.150E+00, 3.1%
52, 1.477E-07, 0.6%, 1.131E+00, 0.5%, 1.178E-05, 0.4%, 1.855E+00, 0.3%, 1.960E-09, 4.6%, 1.258E+00, 2.8%, 1.403E-07, 0.6%, 1.181E+00, 0.5%, 1.178E-05, 0.4%, 1.855E+00, 0.3%, 1.960E-09, 4.6%, 1.258E+00, 2.8%
